label,text,fullname,replies,retweet,likes
REAL,"স্থূলতা বা অতিরিক্ত ওজন স্বাস্থ্যের জন্য ঝুঁকিপূর্ণ। উচ্চ রক্তচাপ, ডায়াবেটিস, রক্তে চর্বির আধিক্য, হৃদরোগ ইত্যাদি সমস্যার কারণ হিসেবে চিহ্নিত হয়েছে",,,,
FAKE,"ডায়াবেটিস, উচ্চ রক্তচাপ! চাপ নেবেন না! এলাচের টোটকাতেই লুকিয়ে প্রতিকার ",,,,
REAL,"#স্ট্রোক_প্রতিরোধে_করোনিয়
★রক্তচাপ,ডায়াবেটিস ও রক্তের চর্বি নিয়ন্ত্রণে রাখুন।
★দিনে অন্তত ৩০ মিনিট ব্যয়াম করুন বা হাঁটুন। 
#হেল্প_পোস্ট(#ডাক্তার)",,,,
REAL,রীতিমতো মহামারির মতো ইদানীং বিশ্বব্যাপী ছড়িয়ে গেছে ডায়াবেটিস রোগটি। একটু চিন্তা করলেই দেখবেন আপনার পরিচিত মানুষের মাঝে এমন কেউ আছেই,,,,
REAL,"ডায়াবেটিস-হার্ট -প্রেসার -এইসব লেগেই থাকে, মাঝেমধ্যে কম বেশিতে পরিনত হয়।

দোয়া করবেন।",,,,
REAL,ডায়াবেটিস ও উচ্চ রক্তচাপ থাকলে করোনায় মৃত্যুঝুঁকি বেশি,,,,
REAL,"#CoronavirusPandemic ভুগছিলেন ক্যান্সার, ডায়াবেটিস, উচ্চ রক্তচাপে, কমে গিয়েছিল রোগ প্রতিরোধী ক্ষমতা, ইতালিতে করোনায় মৃতদের অধিকাংশই বয়স্ক ",,,,
REAL,টাইপ-২ ডায়াবেটিস নিয়ন্ত্রণে ৪টি প্রাকৃতিক উপাদান,,,,
REAL,ডায়াবেটিস নিয়ন্ত্রণে পেয়ারা,,,,
REAL,"করোনাভাইরাসের বড় ঝুঁকির মধ্যে রয়েছেন ডায়াবেটিস রোগীরা। এছাড়া হার্ট ফেইলিউরের রোগী, কিডনি ফেইলিউরের রোগী, হাঁপানি বা ক্রনিক ব্রংকাইটিসের রোগীরাও ঝুঁকিতে।",,,,
REAL,আজ রেসিপিতে আপনাদের জন্য রয়েছে একটি ব্যতিক্রমি আইটেম চিনি ছাড়া রসগোল্লা। ডায়াবেটিস রোগিরও এই রসগোল্লা খেতে পারবেন। আসুন জেনে নেওয়া যাক কিভাবে বানাবেন। বিস্তারিত পড়ুন,,,,
REAL,In Summer Diabetes Patients Should Do।। গরমে ডায়াবেটিস রোগীদের করণীয়,,,,
REAL,আজ রেসিপিতে আপনাদের জন্য রয়েছে একটি ব্যতিক্রমি আইটেম চিনি ছাড়া রসগোল্লা। ডায়াবেটিস রোগিরও এই রসগোল্লা খেতে পারবেন। আসুন জেনে নেওয়া যাক কিভাবে বানাবেন। বিস্তারিত পড়ুন -,,,,
REAL,"বিশ্বে ডায়াবেটিস আক্রান্ত রোগীর সংখ্যা ৪০ কোটি 
",,,,
FAKE,ডায়াবেটিস প্রতিরোধে মেথি,,,,
FAKE,"বুঝতে পারলাম না
যাই হোক যে সমস্ত ব্যক্তি ডায়াবেটিস আছে তাদের জন্য প্রতিদিন ভোর বেলায় বাসি পেটে অল্পকিছু কাঁচা হলুদ সপ্তাহে দুই দিন করে শিউলি ফুলের পাতার রস প্রতিদিন তিন থেকে চারটি করে শতমূল সকাল এবং বিকেলে চিবিয়ে খাবে আশা করি তার ডায়াবেটিকের পরিমাণ শরীরে যতটা আছে কমে আসবে ",,,,
REAL,ডায়াবেটিস রোগীর পায়ের সমস্যা ও সমাধান l Diabetic Foot l Dr. Arefin Pat,,,,
REAL,"গর্ভকালীন ডায়াবেটিস, থায়রয়েড হরমোন ও উচ্চ রক্তচাপঃ সমস্যা ও করণীয় বিষয়ক গ্রন্থের মোড়ক উন্মোচন ",,,,
FAKE,ডায়াবেটিস থেকে চিরতরে মুক্তি দেবে ডুমুর!,,,,
REAL,"প্রশ্নঃ করোনা ভাইরাস কাদের জন্য সবচাইতে ঝুঁকি পূর্ণ?
উত্তরঃ করোনা ভাইরাসে আক্রান্তদের মাঝে বয়স্কদেড় মৃত্যু ঝুঁকি সবচাইতে বেশি। যাদের হৃদরোগ, ডায়াবেটিস, অথবা শ্বাসকষ্টজনিত সমস্যা আসে তাদের মৃত্যু ঝুঁকি সবচাইতে বেশি। #Bangladesh #Dhaka #COVIDー19 #COVIDBDpic.twitter.com/gxXIGIFMD9",,,,
FAKE,"পীঠে তিল থাকা ছেলেগুলো অনেকটা ডায়াবেটিস রুগীর মতো, কারন ডায়াবেটিস রুগীরা বেশীদিন বাঁচে, কারন, ডায়াবেটিস হওয়ার কারনে এসব লোক সতর্ক-সুশৃংখল  জীবন যাপন করে থাকে, তেমনি পীঠে তিল থাকা ছেলেগুলো সতর্ক-সুশৃংখল আচরন করার কারনে বৌয়ের কাছে প্রিয়জন হয়ে যায়, বৌয়ের কাছ থেকেও প্রিয় আচ",,,,
REAL,"ডায়াবেটিস, হৃদরোগ ও ক্যানসারের ঝুঁকি কমাবে ‘সোনালী চাল’ ",,,,
REAL,বিশ্বে ডায়াবেটিস আক্রান্ত রোগীর সংখ্যা ৪০ কোটি,,,,
FAKE,ডায়াবেটিস থেকে চিরতরে মুক্তি দেবে ডুমুর!,,,,
REAL,ডায়াবেটিস হলে চিনি ছাড়াতো চা খাবেই।,,,,
FAKE,"ডায়াবেটিস নিয়ে চিন্তা আর নয় | নিজেই নিজের রোগ নিয়ন্ত্রণ করুন |এলাচি যেসব রোগ প্রতিরোধ করে| diabetes
",,,,
REAL,মিষ্টির মাঝে ডায়াবেটিস আর ডায়াবেটিস এর ভিতর লুচ্চামি তে ভরা।,,,,
REAL,"করোনার ঝুঁকি কমাতে ডায়াবেটিস রোগীরা যা করবেন
করোনা সংক্রমণে যাঁরা বিশেষভাবে ঝুঁকিপূর্ণ, তাঁরা হলেন ডায়াবেটিস রোগী, হার্ট ফেইলিউরের রোগী, কিডনি ফেইলিউরের রোগী, হাঁপানি বা ক্রনিক ব্রংকাইটিসের রোগী।",,,,
AD,"ডায়াবেটিস এর জন্য একমাত্র প্লাটফর্ম ঢাকা কাস্টে পাচ্ছেন মাত্র ৭০০ টাকায়। ডায়াবেটিস বিশেষজ্ঞের কনিসালটেন্সি, বাসায় বসে হেলথ চেকাপ (উত্তরা)।ও বাসায় মেডিসিন ডেলিভারি (ঢাকা)। সার্ভিস নিতে কল করুন 01315087687. অথবা ভিজিট করুন http://www.dhakacast.com 
#StartupWorldCup
#DhakaCast",,,,
REAL,"মহাশয়/ মহাশয়া,আমি জানিতে আগ্রহী যে, বর্তমান পরিস্থিতিতে করোনা ভাইরাস সংক্রমণের চিকিৎসা নাকি দীর্ঘদিনের রোগভোগ,যেমন-ডায়াবেটিস,প্রেসার ফল্ট, রক্তাল্পতা, মস্তিষ্কে সাময়িক রক্তস্বল্পতা, মাথার যন্ত্রণা, স্নায়বিক দৌর্বল্য এই সকল ক্ষেত্রেও চিকিৎসা কী অগ্রাধিকার পাইবে ?",,,,
REAL,নতুন ভিডিও : ডায়াবেটিস রোগী সপ্তাহের ৭ দিন কি খাবেন ? ডায়াবেটিস রোগীর খাদ্য তালিকা সুগার নিয়ন্ত্রনে ডায়েট চার্ট,,,,
FAKE,মিষ্টি খেলে ডায়াবেটিস হয়ে যাবে ওসব খেতে নেই,,,,
REAL,Diabetes and Teeth be Risk Free।। ডায়াবেটিস ও  দাঁত ঝুঁকিমুক্ত থাকুন,,,,
REAL,করোনায় ডায়াবেটিস রোগীদের করণীয়,,,,
REAL,ডায়াবেটিস রোগীদের করোনাভাইরাসে আক্রান্তের ঝুঁকি ও করণীয়,,,,
FAKE,দীর্ঘ ১৮ বছরের ডায়াবেটিস রোগী ঔষুধ ছাড়াই সুস্থ  via @YouTube,,,,
REAL,"যদিও সব বয়সের মানুষই COVID-19-তে আক্রান্ত হতে পারেন, বয়স্ক ব্যক্তিরা এবং যাদের পূর্ব-বিদ্যমান ব্যাধি রয়েছে, (যেমন এথসমা, ডায়াবেটিস, হৃদয়ের সমস্যা) তাদের আক্রান্ত হওয়ার সম্ভবনা বেশি। 
#COVID19 #SayNoToCovid19 #health #kolkata
",,,,
REAL,ব্ল্যাক টি বা চায়ের লিকার ডায়াবেটিস প্রতিরোধে সহায়ক,,,,
FAKE,"বাদামের সকল স্বাস্থ্য উপকারিতা-বাদাম খেলে নির্মূল হবে ডায়াবেটিস - 
রঞ্জু আহমেদ
চিনা বাদামের অ্যান্টি-অক্সিডেন্ট ডায়াবেটিস নির্মূলে বিশেষভাবে কার্যকরী, চিনা বাদাম বেশ সহজলভ্য এবং উপকারী। রাস্তার মোড়ে মোড়ে দেখা মেলে চিনা বাদাম বিক্রেতার।

শখ করে কখনো কখনো হয়তো খাওয়া হয",,,,
REAL,ডায়াবেটিস থেকে মুক্ত থাকতে করণীয় |,,,,
REAL,উচ্চ রক্তচাপ ডায়াবেটিস নিয়ন্ত্রণ করবে কুল  via @বাংলা নিউজ অল টাইম,,,,
REAL,ডায়াবেটিস করোনার জন্য কতটা ঝুঁকিপূর্ণ?,,,,
REAL,ডায়াবেটিস নিয়ন্ত্রণ ও প্রতিরোধ করার ৬ টি কার্যকর যোগ ব্যায়াম,,,,
REAL,ডায়াবেটিস নিয়ন্ত্রণ ও কমানোর ৭ টি ভীষণ সহজ ব্যায়াম,,,,
FAKE,"Watch ""৩৫ বছরের ডায়াবেটিস ৯০ ইউনিট ইনসুলিন নিতে হত এখন ঔষুধ ছাড়াই নিয়ন্ত্রনে ডায়াবেটিস"" on YouTube ",,,,
REAL,ডায়াবেটিস এর হোমিও চিকিৎসা | diabetes homeopathic medicine | via @YouTube,,,,
REAL,ডায়াবেটিস রোগীদের জন্য সুখবর,,,,
REAL,ডায়াবেটিস নিয়ন্ত্রণে খাবার | ডায়াবেটিস রোগীর খাদ্য তালিকা |,,,,
REAL,"খাদ্যাভাস কী ক্যান্সারের ঝুঁকি বাড়ায়
খারাপ খাদ্যাভাসের কারণে গোটা বিশ্বে মানুষের মধ্যে ডায়াবেটিস, হৃদরোগ, দাঁতে সমস্যা, অনিদ্রাসহ নানারকম শারীরিক সমস্যা দেখা দিচ্ছে। বিশ্ব জুড়ে ক্যান্সারের প্রবণতা বাড়ার অন্যতম প্রধান কারণ দুর্বল খ্যাদ্যাভাস। ",,,,
REAL,মানুষের জীবনে সবচাইতে বড় সত্য হলো এটাই যে আমি জন্মেছি যেমন সত্য মরে যাবো এটাও সত্য কিন্তু আজ সারা বিশ্বে করো না ভাইরাসে আক্রান্ত সংখ্যা বাড়ছে এর থেকে জাতিকে বাঁচিয়ে রাখতে হলে সাধারণ মানুষকে অনেক বেশি সচেতন হতে হবে যেসব মানুষের ডায়াবেটিস আছে তারা যতটা পারবেনসাবধানেথাকবাচেষ্টা,,,,
REAL,"করোনার ঝুঁকি কমাতে ডায়াবেটিস রোগীরা যা করবেন
",,,,
REAL,করনা থেকে বাচতে ডায়াবেটিস রোগী দের কী করনীয়।,,,,
REAL,"করোনা পরিস্থিতিতে ডায়াবেটিস,বাত, ব্যথা ও প্যরালাইসিস রোগীরা বাড়ীতে করনীয় কি? এই বিষয় নিয়ে আলোচনা করেছেন ঢাকা সিটি ফিজিওথেরাপি হাসপাতালের সম্মানিত চেয়ারম্যান ও প্রো-অ্যাকটিভ মেডিকেল কলেজ হাসপাতালের ফিজিওথেরাপি বিভাগের প্রধান - ডা. এম ইয়াছিন আলী । ",,,,
REAL,"হাইড্রক্সিক্লোরোকুইনের পার্শ্বপ্রতিক্রিয়া দেখা গেছে যেসব স্বাস্থ্যকর্মীদের তাঁদের বেশিরভাগেরই উচ্চরক্তচাপ, ডায়াবেটিস, শ্বাসজনিত রোগ ছিল।
@MoHFW_INDIA @PIB_India
#CoronaUpdatesInIndia #covidindia",,,,
REAL,ডায়াবেটিস রোগীর সংখ্যা দিনকে দিন বাড়ছেই। তবে এটি প্রতিরোধযোগ্য একটি রোগ। শুধু খাদ্যাভ্যাস নিয়ন্ত্রণে রাখা গেলেই এ রোগটিও অনেকাংশে নিয়ন্ত্রণে রাখা সম্ভব। গবেষণা অন্তত তাই বলে। আরও জানতে পড়ুন বিস্তারিত,,,,
REAL,"ডায়াবেটিস নিয়ন্ত্রণ করার উপায় ও রক্তে সুগারের মাত্রা কমানোর ৫ টি যোগ ব্যায়াম
",,,,
REAL,ডায়াবেটিস নিয়ন্ত্রণ ও কমানোর ৭ টি ভীষণ সহজ ব্যায়াম,,,,
INFO,ভেড়ামারায় ডায়াবেটিস সচেতন দিবস পালিত!,,,,
SATIRE,"আমি কখনই মিষ্টি কথা বলি নাহ
কারন আমি চাইনা আমার
 জন্য কারও ডায়াবেটিস হোক",,,,
REAL,ডায়াবেটিস হৃদরোগ আছে তাদের কী করতে হবেWhat to do Diabetic Patient  via @YouTube,,,,
REAL,উদ্বেগজনক হারে বাড়ছে উচ্চ রক্তচাপ ও ডায়াবেটিস,,,,
FAKE,"আপনি ডায়বেটিসে ভুগছেন? আজই যোগাযোগ করুন। সল্প মূল্যে বিদেশি হোমিওপ্যাথি  ঔষধের দারা সঠিক চিকিৎসা করা হয়। মাএ তিন মাসে পূর্ণমাএায় ডায়াবেটিস নিয়ন্ত্রণ হবে ইনশাআল্লাহ। নির্ভরযোগ্গ প্রতিষ্ঠান  'শিকদার হোমিও হল,'ইলাইপুর, রুপসা উপজেলা, খুলনা,যোগাযোগ ০১৭৪০৬৪৭১৯৮। বিশ্বাস করুন সঠক।",,,,
FAKE,ডায়াবেটিস হওয়ার সম্ভাবনা।so misti isnot good for health..আমি আবার English এ কাচা,,,,
REAL,ব্ল্যাক টি বা চায়ের লিকার ডায়াবেটিস প্রতিরোধে সহায়ক,,,,
REAL,"করোনা পরিস্থিতিতে ডায়াবেটিস,বাত, ব্যথা ও প্যরালাইসিস রোগীরা বাড়ীতে করনীয় কি? এই বিষয় নিয়ে আলোচনা করেছেন, ঢাকা সিটি ফিজিওথেরাপি হাসপাতালের সম্মানিত চেয়ারম্যান ও প্রো-অ্যাকটিভ মেডিকেল কলেজ হাসপাতালের ফিজিওথেরাপি বিভাগের প্রধান - ডা. এম ইয়াছিন আলী ।
",,,,
REAL,ক্যান্সার প্রতিরোধ ও ডায়াবেটিস নিয়ন্ত্রণে কাঁকরোল http://bdmetronews24.com/archives/59860 ,,,,
FAKE,"নামাজ মানুষের মানসিক, স্নায়ুবিক, মনস্তাত্ত্বিক, অস্থিরতা, হতাশা-দুশ্চিন্তা, হার্ট অ্যাটাক, হাড়ের জোড়ার ব্যাথা, ইউরিক এসিড থেকে সৃষ্ট রোগ, পাকস্থলীর আলসার, প্যারালাইসিস, ডায়াবেটিস মেলিটাস, চোখ এবং গলা রোগ প্রতিরোধে সহায়ক।",,,,
FAKE,কিভাবে ওষুধ ছাড়াই ডায়াবেটিস থেকে ডায়াবেটিস রুগীরা সুস্থ থাকবেন।,,,,
REAL,করোনার সংক্রমণ এড়াতে ডায়াবেটিস রোগীদের জন্য পরামর্শ - দৈনিকশিক্ষা,,,,
REAL,ডায়াবেটিস মুক্ত কেউ আছেন কি,,,,
FAKE,Liked on YouTube: শুধু রাতে এটা লাগিয়ে রাখুন ডায়াবেটিস চিরতরে খতম হয়ে যাবে | diabetes ar ilaj,,,,
REAL,যেসব লক্ষণ দেখা দিলে ডায়াবেটিস পরীক্ষা করাবেন,,,,
REAL,"BBC News বাংলা - করোনাভাইরাস: যাদের ডায়াবেটিস, হৃদরোগের মতো স্বাস্থ্য সমস্যা আছে তাদের কী করতে হবে? ",,,,
REAL,জেনে নিন কিভাবে সঠিকভাবে ডায়াবেটিস মাপতে হবে  ,,,,
FAKE,"ডায়াবেটিস ‘নিয়ন্ত্রণে’ পাট পাতার পানীয়, নেয়া হচ্ছে প্রকল্প ",,,,
FAKE,তিনটি ঢেঁড়সেই নিয়ন্ত্রণে থাকবে ডায়াবেটিস -,,,,
REAL,"শিমের বীজ গর্ভবতী মায়েদের জন্য, হার্টের রোগীদের ও ডায়াবেটিস রোগীদের জন্য ভালো। জেনে নিন শিমের বীজের স্বাস্থ্য উপকারীতা সম্পর্কে।
",,,,
REAL,"মিস্টি খাইলে ডায়াবেটিস হয় এটা ভুল,",,,,
REAL,ক-রো-না থেকে ডায়াবেটিস রোগীদের বাঁচার উপায়,,,,
FAKE,সঠিক ভাবে ডায়াবেটিস সারানোর ঘরোয়া উপায়,,,,
REAL,ডায়াবেটিস নিয়ন্ত্রণে রাখে যেসব খাবার,,,,
REAL,"করোনা : যাদের ডায়াবেটিস, হৃদরোগের মতো স্বাস্থ্য সমস্যা আছে তাদের কী করতে হবে? - দৈনিকশিক্ষা ",,,,
REAL,ডায়াবেটিস নিয়ে ৫টি ভুল ধারণা আপনি জানেন তো,,,,
REAL,"ডায়াবেটিস সম্পর্কে বিস্তারিত জানুন বুঝুন মানুন সুস্থ থাকুন 
",,,,
REAL,"ডায়াবেটিস মাপার নিয়ম!
*সকালে খালি পেটে রক্তে চিনির মাত্রা ৫.৮ মিলিমোলের চেয়ে কম হলে ডায়াবেটিস নেই।
*যদি চিনির মাত্রা ৫.৮ এর বেশি অথচ ৭.৮ মিলিমোলের কম হয় তাহলে আপনার ডায়াবেটিস হওয়ার ঝুঁকি আছে।",,,,
REAL,"এটা তো বলাই হচ্ছে যে যারা হার্টের অসুখ, ডায়াবেটিস বা উচ্চ রক্তচাপ ইত্যাদি রোগে আক্রান্ত তারাই বেশি ঝুঁকিতে। কাজেই করোনা আক্রান্ত হয়ে তারাই মারা যাচ্ছেন বেশি।",,,,
FAKE,শুধু রাতে এটা লাগিয়ে রাখুন ডায়াবেটিস চিরতরে খতম হয়ে যাবে | diabetes ar ilaj,,,,
FAKE,বাসি রুটি নিয়ন্ত্রন রাখবে আপনার ডায়াবেটিস!,,,,
REAL,করোনার সংক্রমণ এড়াতে ডায়াবেটিস রোগীদের জন্য পরামর্শ,,,,
REAL,"এভাবে চলতে থাকলে বিশ হাজার কোটি টাকার গ্যাস্ট্রিকের, ডায়াবেটিস এর ওষুধের শিল্প হুমকির মুখে দাঁড়াবে।  তাই চুলকানি উঠবে এটাই স্বাভাবিক।  তারা চাচ্ছে বিনা পয়সায় সুস্থ থাকার এ উদ্যোগটা শুরুতেই শেষ করে দিতে।  ভালো কাজের পথে বাধা আসবেই। ",,,,
FAKE,"ডায়াবেটিস নিয়ে একেবারেই অবহেলা করবেন না, করলে ফলাফল ক্যান্সার! ",,,,
REAL,"... যাদের ওজন, ডায়াবেটিস জনিত সমস্যা তারা এই ডাক্তারের পরামর্শ ও নিয়ম ফলো করুন। ইউটিউবে এ সব ভিডিও পাওয়া যাবে। ",,,,
FAKE,ডায়াবেটিস রোগীদের জন্য ম্যাজিক পথ্য এই কুচকুচে কালো চালের ভাত!,,,,
REAL,"ডায়াবেটিস সম্পর্কে পাঁচটি মিথ Myth (পৌরাণিক কাহিনী বলতে বোঝায় একটি বিস্তৃত অনুষ্ঠিত কিন্তু মিথ্যা বিশ্বাস বা ধারণা)
Five myths about diabetes

'No, you don’t get it from eating too many sweets.'",,,,
REAL,"করোনাভাইরাস: যাদের ডায়াবেটিস, হৃদরোগের মতো স্বাস্থ্য সমস্যা আছে তাদের কী করতে হবে?: করোনাভাইরাসে যে কেউই আক্রান্ত হতে পারেন। তবে যারা আগে থেকে বিশেষ কিছু অসুখে ভুগছেন তাদের আক্রান্ত হওয়ার ঝুঁকি বেশি। এখানে তাদের জন্য বিশেষজ্ঞদের কিছু পরামর্শ তুলে ধরা",,,,
FAKE,on @YouTube: ডায়াবেটিস ও করোনা ভাইরাস এর হাত থেকে বাঁচার দোয়া | হাফেজ মাওলানা মুফতি শরিফুল ইসলাম মাহমুদি Saym TV,,,,
REAL,ডায়াবেটিস রোগ হয়েছে জানতে পারলে কী করবেন? ডায়াবেটিস রোগের লক্ষণ   via @YouTube,,,,
FAKE,ডায়াবেটিস রোগীদের জন্য ডায়েট চার্ট! গুরুত্বপূর্ণ দিক নির্দেশনা। via @YouTube,,,,
AD,"------- নওয়াবি ইসবগুল ভুষি ------

১। কোষ্ঠকাঠিন্য দূর করে।
২। ডায়রিয়া প্রতিরোধ করে।
৩। অ্যাসিডিটি প্রতিরোধে দারুন কার্যকর।
৪। ওজন কমাতে সাহায্য করে।
৫। হজমক্রিয়ার উন্নতি করে।
৬। হৃদস্বাস্থ্যের সুস্থ রাখে।
৭। ডায়াবেটিস প্রতিরোধ করে।
৮। পাইলস প্রতিরোধ ",,,,
FAKE,"ওজন কমান, ক্যান্সার থেকে ডায়াবেটিস রোধে কালো চালের ভাত খান ",,,,
FAKE,"... পেটের ভূড়ি, ডায়াবেটিস, অতিরিক্ত ওজন কমানোর ক্ষেত্রে উনার সাজেশন এক যুগান্তকারী পরিবর্তন আনছে। উনি ভেজাল খাদ্যকে পরিহার করতে বলছেন বিশেষ করে সয়াবিন তেল, ফাস্ট ফুড ইত্যাদি। উনার দেওয়া ভিডিও দেখে অনেক মানুষ... https://www.facebook.com/100007501507501/posts/2454962668097093/ …",,,,
FAKE,আর নয় ডায়াবেটিস।।  মাত্র ৭ মিনিটেই জেনে নিন ডায়েবেটিসের আসল সমাধান  @YouTube -এর মাধ্যমে,,,,
FAKE,তিনটি ঢেঁড়সেই নিয়ন্ত্রণে থাকবে ডায়াবেটিস,,,,
FAKE,শায়খুল হাদীস জিকরুল্লাহ খান শুধু ভিডিও দেখে যেভাবে ঔষুধ ছাড়া নিয়ন্ত্রন করলেন ডায়াবেটিস,,,,
REAL,"অমিত ছেলে না মেয়ে? উত্তরে আমি বলবো, অমিত একজন মানুষ ।এমনই একটি ভিডিও আপনাদের সামনে তুলে ধরেছি।
হিজড়া হলো যৌন প্রতিবন্ধী। এসই 2015 সাল থেকে নিজ অর্থায়নে ডায়াবেটিস এবং হিজড়াদেরকে নিয়ে কাজ করছে।
",,,,
REAL,শরীরে ৭ উপসর্গ দেখলেই ডায়াবেটিস পরীক্ষা করান https://nantvbd.net/,,,,
REAL,ডায়াবেটিস নিয়ন্ত্রণে রাখতে খাবারের লিস্ট । Foods to control Diabetic,,,,
REAL,করোনা থেকে ডায়াবেটিস রোগীরা বাঁচবেন যেভাবে,,,,
FAKE,"যাহা বলিয়া বা লেখিয়া মনেৱ ভাব প্ৰকাশ কৱা হয় তাহাকে ভালবাসা বলে ৷ 
ভালবাসা মানে বেশি ঘুম নয় ?
ঘুম বেশি হলে ডায়াবেটিস হয় ৷",,,,
REAL,"এই রোগ থেকে সেরে ওঠে। খুব কমই, এই রোগ মারাত্মক এবং মারাত্মকও হতে পারে। বয়স্ক ব্যক্তিরা এবং অন্যান্য চিকিত্সা সম্পর্কিত (যেমন হাঁপানি, ডায়াবেটিস, বা হৃদরোগ) রোগের লোকেরা মারাত্মক অসুস্থ হওয়ার জন্য আরও ঝুঁকিপূর্ণ হতে পারে। লোকেরা অভিজ্ঞ হতে পারে: কাশি জ্বর গ্লানি ",,,,
REAL,ডায়াবেটিস ৯ দশমিক ৩ ও স্বাভাবিক উচ্চ রক্তচাপ নিয়ে ফিরলেন খালেদা,,,,
REAL,ডায়াবেটিস রোগীরা যেভাবে বাঁচবেন করোনা থেকে,,,,
REAL,করোনার সংক্রমণ এড়াতে ডায়াবেটিস রোগীরা কী করবেন?,,,,
REAL,"আজকের প্রথম আল'তে আমার প্রবন্ধ 'করোনার ঝুঁকি কমাতে ডায়াবেটিস রোগীরা যা করবেন'।
My article on THINGS TO DO WITH DIABETES DURING COVID19 PANDEMIC.

",,,,
INFO,বিশ্ব ডায়াবেটিস দিবসে ফেসবুক লাইভে ডাঃ জাহাঙ্গীর কবীর  via @YouTube,,,,
REAL,"হাওড়ার, উলুবেড়িয়া তে পুলিশ যেভাবে লাঠি চার্জ করছে তা দেখে আমি আমার ডায়াবেটিস রুগী,বাবার জন্যে ঔষধ কিনতে যেতেও পারছি না ভয়েতে। মাননীয়া মুখ্যমন্ত্রীর কাছে আমার বিনিত আবেদন যে আপনার পুলিশ প্রশাসন যাতে সাধারণ মানুষের কাছে আগে জানুন সে কেন বাইরে বেড়িয়েছে।",,,,
REAL,ডায়াবেটিস ও কোলেস্টেরল নিয়ন্ত্রণ করে করলা চা! যেভাবে তৈরি করতে হবে  via @YouTube,,,,
FAKE,ডায়াবেটিস নিয়ন্ত্রণ করে তিতকুটে খাবার,,,,
FAKE,ওজন কমলেও আপেল সিডার ভিনেগার পানে হতে পারে ডায়াবেটিস!,,,,
REAL,সাম্প্রতিক একটি গবেষণায় দেখা গিয়েছে যে সকল ব্যক্তি অধিক পরিশ্রম করেন তারাই বেশি ডায়াবেটিস আক্রান্তের ঝুঁকিতে রয়েছেন। বিস্তারিত পড়ুন -,,,,
REAL,ডায়াবেটিস কমাতে তেজপাতা খান নিয়মিত,,,,
REAL,দিনাজপুরে ডায়াবেটিস ও ক্যান্সার প্রতিরোধক ‘চিয়া’ চাষ,,,,
FAKE,করোনার ঝুঁকি কমাতে ডায়াবেটিস রোগীরা যা করবেন,,,,
FAKE,ডায়াবেটিস ও ক্যানসার রোগ হবেনা এই পাতাটি নিয়মিত খেলে। Bangla health tips | prevent diabetes and cancer,,,,
FAKE,"ডায়াবেটিস মাপার মেশিন সমস্যার,সমাধান,blood glucose meter Problem   via @YouTube",,,,
FAKE,ঔষধ ছাড়াই ডায়াবেটিস ও উচ্চ রক্তচাপ নিয়ন্ত্রন করবে রসুন ! কীভাবে খাবেন ! জানতে ভিডিওটি দেখুন ।,,,,
